
自用频道,#genre#
CCTV1,http://gzcyl001.3322.org:8081/hls/1/index.m3u8
CCTV2,http://gzcyl001.3322.org:8081/hls/2/index.m3u8
CCTV3,http://gzcyl001.3322.org:8081/hls/3/index.m3u8
CCTV4,http://gzcyl001.3322.org:8081/hls/4/index.m3u8
CCTV5+,http://gzcyl001.3322.org:8081/hls/18/index.m3u8
CCTV5,http://gzcyl001.3322.org:8081/hls/5/index.m3u8
CCTV6,http://gzcyl001.3322.org:8081/hls/6/index.m3u8
CCTV7,http://gzcyl001.3322.org:8081/hls/7/index.m3u8
CCTV8,http://gzcyl001.3322.org:8081/hls/8/index.m3u8
CCTV9,http://gzcyl001.3322.org:8081/hls/9/index.m3u8
CCTV10,http://gzcyl001.3322.org:8081/hls/10/index.m3u8
CCTV11,http://gzcyl001.3322.org:8081/hls/11/index.m3u8
CCTV12,http://gzcyl001.3322.org:8081/hls/12/index.m3u8
CCTV13,http://gzcyl001.3322.org:8081/hls/13/index.m3u8
CCTV14,http://gzcyl001.3322.org:8081/hls/14/index.m3u8
CCTV15,http://gzcyl001.3322.org:8081/hls/15/index.m3u8
CCTV16,http://gzcyl001.3322.org:8081/hls/16/index.m3u8
CCTV17,http://gzcyl001.3322.org:8081/hls/17/index.m3u8
三沙卫视,http://gzcyl001.3322.org:8081/hls/59/index.m3u8
上海卫视,http://gzcyl001.3322.org:8081/hls/53/index.m3u8
北京卫视,http://gzcyl001.3322.org:8081/hls/37/index.m3u8
吉林卫视,http://gzcyl001.3322.org:8081/hls/51/index.m3u8
四川卫视,http://gzcyl001.3322.org:8081/hls/45/index.m3u8
天津卫视,http://gzcyl001.3322.org:8081/hls/38/index.m3u8
安徽卫视,http://gzcyl001.3322.org:8081/hls/40/index.m3u8
山东卫视,http://gzcyl001.3322.org:8081/hls/43/index.m3u8
广东卫视,http://gzcyl001.3322.org:8081/hls/29/index.m3u8
广东珠江,http://gzcyl001.3322.org:8081/hls/23/index.m3u8
广州影视,http://gzcyl001.3322.org:8081/hls/20/index.m3u8
广州新闻,http://gzcyl001.3322.org:8081/hls/21/index.m3u8
广州法制,http://gzcyl001.3322.org:8081/hls/57/index.m3u8
广州综合,http://gzcyl001.3322.org:8081/hls/19/index.m3u8
广西卫视,http://gzcyl001.3322.org:8081/hls/52/index.m3u8
江苏卫视,http://gzcyl001.3322.org:8081/hls/36/index.m3u8
江西卫视,http://gzcyl001.3322.org:8081/hls/50/index.m3u8
河北卫视,http://gzcyl001.3322.org:8081/hls/49/index.m3u8
河南卫视,http://gzcyl001.3322.org:8081/hls/56/index.m3u8
浙江卫视,http://gzcyl001.3322.org:8081/hls/35/index.m3u8
深圳卫视,http://gzcyl001.3322.org:8081/hls/39/index.m3u8
湖北卫视,http://gzcyl001.3322.org:8081/hls/41/index.m3u8
湖南卫视,http://gzcyl001.3322.org:8081/hls/34/index.m3u8
贵州卫视,http://gzcyl001.3322.org:8081/hls/47/index.m3u8
辽宁卫视,http://gzcyl001.3322.org:8081/hls/44/index.m3u8
重庆卫视,http://gzcyl001.3322.org:8081/hls/46/index.m3u8
金鹰卡通,http://gzcyl001.3322.org:8081/hls/62/index.m3u8
陕西卫视,http://gzcyl001.3322.org:8081/hls/60/index.m3u8
黑龙江卫视,http://gzcyl001.3322.org:8081/hls/42/index.m3u8
东南卫视,http://gzcyl001.3322.org:8081/hls/48/index.m3u8
CCTV1-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.120:5002
CCTV2-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.133:5002
CCTV3-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.158:5002
CCTV4-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.150:5002
CCTV6-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.195:5002
CCTV7-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.138:5002
CCTV8-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.196:5002
CCTV9-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.119:5002
CCTV10-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.140:5002
CCTV12-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.142:5002
CCTV13-5.1环绕声,http://www.liam008.top:4022/udp/225.1.2.193:5002
CCTV14-5.1环绕声,http://www.liam008.top:4022/udp/225.1.1.144:5002
CCTV16-5.1环绕声,http://www.liam008.top:4022/udp/225.1.2.237:5002
CCTV164K-5.1环绕声[3840*2160],http://ipv4.sunjianwu.fun:8800/rtp/239.49.0.109:8000
CCTV17-5.1环绕声,http://www.liam008.top:4022/udp/225.1.2.052:5002
CHC影迷电影-5.1环绕声,http://117.114.153.25:8180/TV00000000000000000094@HHZT
NewTv黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTv超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTv动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTv精彩影视,http://ojbk.02200059.xyz:4022/udp/226.1.30.194:6000
NewTv爱情喜剧,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010000/1.m3u8
